hash,inSTORAGE,inCONSTANT HEAD,inWELLS,inDRAINS,inRECHARGE,inTOTAL IN,outSTORAGE,outCONSTANT HEAD,outWELLS,outDRAINS,outRECHARGE,outTOTAL OUT,IN - OUT,PERCENT DISCREPANCY
TRNAT_wells_6b2723e42bb1f52ffa7735b558fef95d,11178286080.0000,0.0000,0.0000,0.0000,34424778752.0000,45603065856.0000,11501666304.0000,0.0000,2086094208.0000,32118800384.0000,0.0000,45706559488.0000,-103493632.0000,-0.23
TRNAT_wells_6b2723e42bb1f52ffa7735b558fef95d,11178286080.0000,0.0000,0.0000,0.0000,34424778752.0000,45603065856.0000,11501666304.0000,0.0000,2086094208.0000,32118800384.0000,0.0000,45706559488.0000,-103493632.0000,-0.23
TRNAT_wells_6b2723e42bb1f52ffa7735b558fef95d,11178286080.0000,0.0000,0.0000,0.0000,34424778752.0000,45603065856.0000,11501666304.0000,0.0000,2086094208.0000,32118800384.0000,0.0000,45706559488.0000,-103493632.0000,-0.23
TRNAT_wells_bbe3c742a264be50f52aa97d804f5954,11182034944.0000,0.0000,0.0000,0.0000,34424778752.0000,45606813696.0000,11501858816.0000,0.0000,2136640128.0000,32071542784.0000,0.0000,45710041088.0000,-103227392.0000,-0.23
TRNAT_wells_bbe3c742a264be50f52aa97d804f5954,11182034944.0000,0.0000,0.0000,0.0000,34424778752.0000,45606813696.0000,11501858816.0000,0.0000,2136640128.0000,32071542784.0000,0.0000,45710041088.0000,-103227392.0000,-0.23
TRNAT_wells_bbe3c742a264be50f52aa97d804f5954,11182034944.0000,0.0000,0.0000,0.0000,34424778752.0000,45606813696.0000,11501858816.0000,0.0000,2136640128.0000,32071542784.0000,0.0000,45710041088.0000,-103227392.0000,-0.23
TRNAT_wells_d1ab1301f31dc1c19af0d7794455efb7,11177493504.0000,0.0000,0.0000,0.0000,34424778752.0000,45602271232.0000,11501288448.0000,0.0000,2087974784.0000,32115916800.0000,0.0000,45705179136.0000,-102907904.0000,-0.23
TRNAT_wells_d1ab1301f31dc1c19af0d7794455efb7,11177493504.0000,0.0000,0.0000,0.0000,34424778752.0000,45602271232.0000,11501288448.0000,0.0000,2087974784.0000,32115916800.0000,0.0000,45705179136.0000,-102907904.0000,-0.23
TRNAT_wells_d1ab1301f31dc1c19af0d7794455efb7,11177493504.0000,0.0000,0.0000,0.0000,34424778752.0000,45602271232.0000,11501288448.0000,0.0000,2087974784.0000,32115916800.0000,0.0000,45705179136.0000,-102907904.0000,-0.23
TRNAT_wells_f33d3970c6938cd857d503dcc30a6d85
TRNAT_wells_f33d3970c6938cd857d503dcc30a6d85hash,inSTORAGE,inCONSTANT HEAD,inWELLS,inDRAINS,inRECHARGE,inTOTAL IN,outSTORAGE,outCONSTANT HEAD,outWELLS,outDRAINS,outRECHARGE,outTOTAL OUT,IN - OUT,PERCENT DISCREPANCY
TRNAT_wells_f33d3970c6938cd857d503dcc30a6d85hash,inSTORAGE,inCONSTANT HEAD,inWELLS,inDRAINS,inRECHARGE,inTOTAL IN,outSTORAGE,outCONSTANT HEAD,outWELLS,outDRAINS,outRECHARGE,outTOTAL OUT,IN - OUT,PERCENT DISCREPANCY
TROLD_wells_56d6efb291283a1374898c13891e3fe5
TROLD_wells_56d6efb291283a1374898c13891e3fe5
TROLD_wells_56d6efb291283a1374898c13891e3fe5
